 PROFIT & LOSS ,,,,,,,,,,
Report Date,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Mar-22,Mar-23,Mar-24
 Sales ,94648.41,108646,117966,123104,146463,156949,164177,191754,225458,240893
 Raw Material Cost ,,,94,86,40,18,14,29,37,42
 Change in Inventory ,,,1,,,,,,,
 Power and Fuel ,573.87,,,,,,,,,
 Other Mfr. Exp ,24485.93,2571,2715,2614,2230,1887,1448,1134,1844,3660
 Employee Cost ,38701.15,55348,61621,66396,78246,85952,91814,107554,127522,140131
 Selling and admin ,4842.25,15589,16392,16808,20387,20527,18322,23187,28913,24151
 Other Expenses ,1563.5,4461,4834,4684,6054,6456,6033,6793,7883,8613
 Other Income ,3719.66,3084,4221,3642,4311,4592,1916,4018,3449,3464
 Depreciation ,1798.69,1888,1987,2014,2056,3529,4065,4604,5022,4985
 Interest ,104.19,33,32,52,198,924,637,784,779,778
 Profit before tax ,26298.49,31840,34513,34092,41563,42248,43760,51687,56907,61997
 Tax ,6238.79,7502,8156,8212,10001,9801,11198,13238,14604,15898
 Net profit ,19852.18,24270,26289,25826,31472,32340,32430,38327,42147,45908
 Dividend Amount ,15473.73,8569.5,9259,9550,11250,27375,14060,15738,42090,26426
 cogs ,,,,,,,,,,
, 0.41 , 0.51 , 0.52 , 0.54 , 0.53 , 0.55 , 0.56 , 0.56 , 0.57 , 0.58 
, 0.59 , 0.49 , 0.48 , 0.46 , 0.47 , 0.45 , 0.44 , 0.44 , 0.43 , 0.42 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
